player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Kendric Pryor,NA,NA,NA,NA,NA,NA
Willie Johnson,NA,NA,NA,NA,NA,NA
Nick Foles,NA,NA,NA,NA,NA,NA
Sam Ehlinger,NA,NA,NA,NA,NA,NA
Drew Ogletree,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,NA,NA,NA,NA,NA,NA
Indianapolis Colts,NA,NA,NA,NA,NA,NA
Andrew DePaola,NA,NA,NA,NA,NA,NA
Nick Mullens,NA,NA,NA,NA,NA,NA
Kene Nwangwu,NA,NA,NA,NA,NA,NA
Ty Chandler,NA,NA,NA,NA,NA,NA
Bisi Johnson,NA,NA,NA,NA,NA,NA
Thomas Hennigan,NA,NA,NA,NA,NA,NA
Salvon Ahmed,NA,NA,NA,NA,NA,NA
Hunter Long,NA,NA,NA,NA,NA,NA
Erik Ezukanma,NA,NA,NA,NA,NA,NA
Tanner Conner,NA,NA,NA,NA,NA,NA
John Lovett,NA,NA,NA,NA,NA,NA
Adam Shaheen,NA,NA,NA,NA,NA,NA
Minnesota Vikings,NA,NA,NA,NA,NA,NA
Miami Dolphins,NA,NA,NA,NA,NA,NA
Blake Proehl,NA,NA,NA,NA,NA,NA
Brandon Allen,NA,NA,NA,NA,NA,NA
Trent Taylor,NA,NA,NA,NA,NA,NA
Drew Sample,NA,NA,NA,NA,NA,NA
Trayveon Williams,NA,NA,NA,NA,NA,NA
Stanley Morgan,NA,NA,NA,NA,NA,NA
Devin Asiasi,NA,NA,NA,NA,NA,NA
Cal Adomitis,NA,NA,NA,NA,NA,NA
Clark Harris,NA,NA,NA,NA,NA,NA
Elijah Holyfield,NA,NA,NA,NA,NA,NA
Zach Wood,NA,NA,NA,NA,NA,NA
