,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
126,Kyle Philips,TEN,23,WR,2,0,5,3.5,35.5,10.1,0,1.5,21,3.5,35.5,70.0%,7.1,,,,0,,,,,3.5,10.1,35.5,0,1
127,Hayden Hurst,CIN,29,TE,2,2,7.5,5,35,7,0,2.5,20,5,35,66.7%,4.7,,,,0,,,,,5,7,35,0,0
128,Donovan Peoples-Jones,CLE,23,WR,3,3,5,2.33,23.3,10,0,1.33,15,2.3,23.3,46.7%,4.7,,,,0,,,,,2.33,10,23.3,0,0
129,Olamide Zaccheaus,ATL,25,WR,2,2,3,3,35,11.7,0.5,1.5,22,3,35,100.0%,11.7,,,,0,,,,,3,11.7,35,1,0.5
130,Dontrell Hilliard,TEN,27,RB,1,0,4,3,61,20.3,2,3,31,3,61,75.0%,15.3,2,8,0,0,5,4,8,2,5,13.8,69,2,0
131,Quez Watkins,PHI,24,WR,2,1,1,1,34.5,34.5,0.5,0.5,53,1,34.5,100.0%,34.5,,,,0,,,,,1,34.5,34.5,1,0
132,Isiah Pacheco,KAN,22,RB,2,0,0,0,0,,0,0,0,0,0,0.0%,,7,34,0.5,2,22,4.9,34,7,7,4.9,34,1,0.5
133,Trey Lance,SFO,22,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,8,33.5,0,3.5,13,4.2,33.5,8,8,4.2,33.5,0,0.5
134,Josh Allen,BUF,26,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,5.5,33,0.5,2.5,13,6,33,5.5,5.5,6,33,1,0
135,Keenan Allen,LAC,30,WR,1,1,4,4,66,16.5,0,2,42,4,66,100.0%,16.5,,,,0,,,,,4,16.5,66,0,0
136,Jauan Jennings,SFO,25,WR,2,1,4,2.5,33,13.2,0,1,44,2.5,33,62.5%,8.3,,,,0,,,,,2.5,13.2,33,0,0
137,Josh Reynolds,DET,27,WR,2,2,3,2,33,16.5,0.5,2,28,2,33,66.7%,11,,,,0,,,,,2,16.5,33,1,0
138,Ian Thomas,CAR,26,TE,2,2,3,1.5,33,22,0,1.5,50,1.5,33,50.0%,11,,,,0,,,,,1.5,22,33,0,0
139,Jerick McKinnon,KAN,30,RB,2,0,3,2.5,15.5,6.2,0.5,1,18,2.5,15.5,83.3%,5.2,4,17,0,0.5,18,4.3,17,4,6.5,5,32.5,1,0
140,George Pickens,PIT,21,WR,3,1,4,1.67,21.7,13,0,0.67,36,1.7,21.7,41.7%,5.4,,,,0,,,,,1.67,13,21.7,0,0
141,Allen Robinson,LAR,29,WR,2,2,3.5,2.5,32.5,13,0.5,2,29,2.5,32.5,71.4%,9.3,,,,0,,,,,2.5,13,32.5,1,0
142,Jacoby Brissett,CLE,30,QB,3,3,0,0,0,,0,0,0,0,0,0.0%,,4.33,21.3,0,2.33,21,4.9,21.3,4.3,4.33,4.9,21.3,0,0
143,T.J. Hockenson,DET,25,TE,2,2,7,3.5,32,9.1,0,2,18,3.5,32,50.0%,4.6,,,,0,,,,,3.5,9.1,32,0,0
144,Harrison Bryant,CLE,24,TE,3,1,2.67,1.67,21,12.6,0,1,30,1.7,21,62.5%,7.9,,,,0,,,,,1.67,12.6,21,0,0
145,Cam Akers,LAR,23,RB,2,0,1.5,1,9,9,0,0.5,10,1,9,66.7%,6,9,22,0,1,8,2.4,22,9,10,3.1,31,0,0
146,Darrel Williams,ARI,27,RB,2,0,1.5,1,1.5,1.5,0,0,2,1,1.5,66.7%,1,4,29.5,0.5,2,30,7.4,29.5,4,5,6.2,31,1,0
147,Mecole Hardman,KAN,24,WR,2,2,5,3,32.5,10.8,0.5,2,30,3,32.5,60.0%,6.5,0.5,-2,0,0,-4,-4,-2,0.5,3.5,8.7,30.5,1,0
